# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
38.95         	1.930174e+00
39            	1.969170e+00
39.05         	1.973656e+00
39.1          	1.977720e+00
39.15         	2.010323e+00
39.2          	2.012584e+00
39.25         	2.020779e+00
39.3          	2.040967e+00
39.35         	2.058797e+00
39.4          	2.075308e+00
39.45         	2.104135e+00
39.5          	2.105751e+00
39.55         	2.138048e+00
39.6          	2.174186e+00
39.65         	2.201036e+00
39.7          	2.226205e+00
39.75         	2.257839e+00
39.8          	2.249380e+00
39.85         	2.303937e+00
39.9          	2.329455e+00
39.95         	2.319708e+00
40            	2.334130e+00
40.05         	2.348343e+00
40.1          	2.358629e+00
40.15         	2.384675e+00
40.2          	2.390702e+00
40.25         	2.399722e+00
40.3          	2.417154e+00
40.35         	2.404322e+00
40.4          	2.405800e+00
40.45         	2.387525e+00
40.5          	2.432434e+00
40.55         	2.424013e+00
40.6          	2.411242e+00
40.65         	2.406283e+00
40.7          	2.371596e+00
40.75         	2.378194e+00
40.8          	2.340266e+00
40.85         	2.351467e+00
40.9          	2.345515e+00
40.95         	2.335619e+00
41            	2.314658e+00
41.05         	2.301016e+00
41.1          	2.323290e+00
41.15         	2.344457e+00
41.2          	2.279920e+00
41.25         	2.312788e+00
41.3          	2.322881e+00
41.35         	2.289356e+00
41.4          	2.314747e+00
41.45         	2.316645e+00
41.5          	2.317664e+00
41.55         	2.319873e+00
41.6          	2.224425e+00
41.65         	2.209568e+00
41.7          	2.221846e+00
41.75         	2.201505e+00
41.8          	2.188257e+00
41.85         	2.166048e+00
41.9          	2.162710e+00
41.95         	2.158691e+00
42            	2.163888e+00
42.05         	2.158616e+00
42.1          	2.149346e+00
42.15         	2.134643e+00
42.2          	2.112657e+00
42.25         	2.096272e+00
42.3          	2.085119e+00
42.35         	2.061937e+00
42.4          	2.087310e+00
42.45         	2.113445e+00
42.5          	2.124357e+00
42.55         	2.150041e+00
42.6          	2.178500e+00
42.65         	2.178716e+00
42.7          	2.184915e+00
42.75         	2.205987e+00
42.8          	2.212872e+00
42.85         	2.232864e+00
42.9          	2.235511e+00
42.95         	2.230797e+00
43            	2.236221e+00
43.05         	2.235659e+00
43.1          	2.232824e+00
