# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
26.7          	3.420161e-03
26.75         	6.162539e-03
26.8          	8.866985e-03
26.85         	1.173569e-02
26.9          	1.432676e-02
26.95         	1.551199e-02
27            	1.673346e-02
27.05         	1.793955e-02
27.1          	1.913644e-02
27.15         	2.027282e-02
27.2          	1.814531e-02
27.25         	1.396017e-02
27.3          	8.392342e-03
27.35         	2.690979e-03
27.4          	3.606054e-03
27.45         	1.011638e-02
27.5          	1.768181e-02
27.55         	2.061370e-02
27.6          	2.806279e-02
27.65         	2.854202e-02
27.7          	1.703871e-02
27.75         	8.140094e-03
27.8          	2.150992e-02
27.85         	9.960534e-03
27.9          	8.191248e-03
27.95         	2.137204e-02
28            	2.820845e-02
28.05         	2.715774e-02
28.1          	2.627746e-02
28.15         	2.554541e-02
28.2          	2.489648e-02
28.25         	2.490501e-02
28.3          	3.924308e-03
28.35         	1.864022e-02
28.4          	1.536680e-02
28.45         	1.394271e-02
28.5          	1.407753e-02
28.55         	1.178424e-02
28.6          	9.823107e-03
28.65         	8.248819e-03
28.7          	7.543078e-03
28.75         	7.854691e-03
28.8          	9.264758e-03
28.85         	1.128875e-02
28.9          	1.386799e-02
28.95         	1.666887e-02
29            	1.970526e-02
29.05         	2.290192e-02
29.1          	1.023983e-02
29.15         	1.164834e-02
29.2          	2.201190e-02
29.25         	3.129733e-02
29.3          	3.747537e-02
29.35         	3.731076e-02
29.4          	3.592714e-02
29.45         	3.434906e-02
29.5          	3.210055e-02
29.55         	2.981667e-02
29.6          	2.494523e-02
29.65         	2.068607e-02
29.7          	2.164160e-02
29.75         	1.901220e-02
29.8          	1.676348e-02
29.85         	1.440332e-02
29.9          	1.181627e-02
29.95         	9.164453e-03
30            	6.516684e-03
30.05         	3.794328e-03
30.1          	1.058918e-03
30.15         	2.733817e-03
30.2          	6.401396e-03
30.25         	1.079193e-02
30.3          	1.599367e-02
30.35         	2.140446e-02
30.4          	2.647999e-02
30.45         	2.355902e-02
30.5          	2.070320e-02
30.55         	1.822468e-02
30.6          	1.691577e-02
30.65         	1.634287e-02
30.7          	1.596671e-02
30.75         	1.287910e-02
30.8          	2.221691e-02
30.85         	2.597587e-02
30.9          	1.802791e-02
30.95         	3.448446e-02
31            	3.155188e-02
31.05         	2.215892e-02
31.1          	1.436732e-02
31.15         	1.832363e-02
31.2          	2.447502e-02
31.25         	1.644253e-02
31.3          	1.366451e-02
31.35         	1.236785e-02
31.4          	1.168779e-02
31.45         	1.159062e-02
31.5          	1.191021e-02
31.55         	1.246126e-02
31.6          	1.341059e-02
31.65         	1.452004e-02
31.7          	1.591813e-02
31.75         	1.782088e-02
31.8          	2.014896e-02
31.85         	1.982252e-02
31.9          	1.965934e-02
31.95         	1.929350e-02
32            	1.887476e-02
