time,err_U,err_p,abs_U,abs_p,metric,source
0.55,1.155891083560686,7.810942611569794,13.46101820021783,7486.921684908318,vol_weighted,rom_only
0.555,1.218287641494739,8.041125433627288,14.18793860375299,7707.55848988985,vol_weighted,rom_only
0.56,1.218306903946509,7.896680912965959,14.18843483883409,7569.110206974016,vol_weighted,rom_only
0.565,1.155994268584356,7.977066110936335,13.46299289901323,7646.163385719965,vol_weighted,rom_only
0.57,1.218343676013183,8.033772739689653,14.18939149698697,7700.520297379191,vol_weighted,rom_only
0.575,1.20734020315846,8.041113444608134,14.06149155905757,7707.558015001125,vol_weighted,rom_only
0.58,1.155764976491136,7.948232149640604,13.46104646526889,7618.533679092964,vol_weighted,rom_only
0.585,1.064745222562564,7.445257105531421,12.40116477989793,7136.424979325128,vol_weighted,rom_only
0.59,1.304036445531092,7.896660665238534,15.18845827364445,7569.109040704275,vol_weighted,rom_only
0.595,1.155185777344187,7.810916353827611,13.45497547538245,7486.923237333499,vol_weighted,rom_only
0.6,1.218441890508642,8.041094974074987,14.19197391651412,7707.556863742214,vol_weighted,rom_only
0.605,1.218456477768107,7.896652423669837,14.19237106163331,7569.108518545871,vol_weighted,rom_only
0.61,1.155351841109326,7.977039680899661,13.45753988256997,7646.165221347865,vol_weighted,rom_only
0.615,1.218484827519758,8.033741456154059,14.19312624491321,7700.518440004047,vol_weighted,rom_only
0.62,1.207530659160424,8.041085624509154,14.06573747811725,7707.55634005742,vol_weighted,rom_only
0.625,1.155165290530736,7.948205217555853,13.45595952234734,7618.5357861863,vol_weighted,rom_only
0.63,1.064277296408741,7.445232547342752,12.39742029092884,7136.426473606458,vol_weighted,rom_only
0.635,1.303985290739605,7.896634960547086,15.18990904578253,7569.107296789467,vol_weighted,rom_only
0.64,1.154611717808774,7.81089287470691,13.45005708174626,7486.925348322875,vol_weighted,rom_only
0.645,1.218560171165997,8.041065812319705,14.19518245256628,7707.554699655392,vol_weighted,rom_only
0.65,1.21857151636933,7.896623605230782,14.19549236236409,7569.106233147279,vol_weighted,rom_only
0.655,1.154830805177748,7.977016274658214,13.45312306080809,7646.167449055689,vol_weighted,rom_only
0.66,1.21859332343701,8.033713616202785,14.19609481774858,7700.516194804802,vol_weighted,rom_only
0.665,1.207683560054304,8.041051283138721,14.06916678443187,7707.553480616262,vol_weighted,rom_only
0.67,1.154680329799111,7.948178743140956,13.45184826364895,7618.538491790929,vol_weighted,rom_only
0.675,1.063899268287335,7.44520703381405,12.39440359669006,7136.429008797263,vol_weighted,rom_only
0.68,1.303941119107319,7.896601627719067,15.19105114915594,7569.10426675705,vol_weighted,rom_only
0.685,1.154145210183749,7.810866549471926,13.4460620928686,7486.928292680153,vol_weighted,rom_only
0.69,1.218651745948122,8.041031438998147,14.19773155005762,7707.551614344479,vol_weighted,rom_only
0.695,1.218660702326749,7.896590883962665,14.19797762011135,7569.103203523101,vol_weighted,rom_only
0.7,1.154409768275105,7.976990714023553,13.44955736361455,7646.170396505101,vol_weighted,rom_only
0.705,1.218677675088193,8.033682392405401,14.19845579295079,7700.513277486702,vol_weighted,rom_only
0.71,1.207806384160784,8.041022979102012,14.0719326117816,7707.55085981909,vol_weighted,rom_only
0.715,1.154288424309902,7.948156679892508,13.44852967257813,7618.54118879376,vol_weighted,rom_only
0.72,1.063595504670624,7.445187522486606,12.39198354831148,7136.431444679315,vol_weighted,rom_only
0.725,1.303903419943498,7.89657353731262,15.1919567911979,7569.101356774631,vol_weighted,rom_only
0.73,1.15376935581987,7.810846480052711,13.44283828332863,7486.930977129203,vol_weighted,rom_only
0.735,1.218723265828876,8.041005315634239,14.19975364375188,7707.549077260661,vol_weighted,rom_only
0.74,1.218730242956801,7.896566453661523,14.19995182586959,7569.100581538347,vol_weighted,rom_only
0.745,1.154071211571356,7.976970376764099,13.44668925195227,7646.173120323829,vol_weighted,rom_only
0.75,1.218743521984109,8.033656130319622,14.20032974997403,7700.510608294675,vol_weighted,rom_only
0.755,1.207905389046273,8.04099519267807,14.07415565962171,7707.547976109943,vol_weighted,rom_only
0.76,1.153974683916089,7.94813789821134,13.44586936279772,7618.543678744797,vol_weighted,rom_only
0.765,1.06335202040719,7.445167803506781,12.39004799149963,7136.434178094794,vol_weighted,rom_only
0.77,1.303871935851319,7.896548192595035,15.19265970251952,7569.098555093753,vol_weighted,rom_only
0.775,1.153466659073607,7.810825782295253,13.44024022863834,7486.934043148006,vol_weighted,rom_only
0.78,1.218779157038335,8.040979151758417,14.20135872200864,7707.54623120886,vol_weighted,rom_only
0.785,1.218784563554815,7.896538760133965,14.20151644021069,7569.097625317069,vol_weighted,rom_only
0.79,1.153800728877272,7.976948102287754,13.44439442518114,7646.176133834311,vol_weighted,rom_only
0.795,1.218795012080517,8.033629432351134,14.20181370446216,7700.507800086027,vol_weighted,rom_only
0.8,1.207985023627149,8.040969476684483,14.07593984774759,7707.545216000317,vol_weighted,rom_only
0.805,1.153723736290629,7.948120793551084,13.44373916676836,7618.546122812196,vol_weighted,rom_only
0.81,1.063158738770732,7.445150399719132,12.38850893126391,7136.436837166035,vol_weighted,rom_only
0.815,1.303845595989496,7.896523135621672,15.1932105203142,7569.095810416905,vol_weighted,rom_only
0.82,1.15322484589086,7.810807375738431,13.4381588057496,7486.93672735057,vol_weighted,rom_only
0.825,1.218822961198715,8.040954518485238,14.20262639087659,7707.543569633375,vol_weighted,rom_only
0.83,1.218827060404031,7.89651484333735,14.20275095808067,7569.094745407563,vol_weighted,rom_only
0.835,1.153584027064819,7.976930879344249,13.44255622801008,7646.178790792137,vol_weighted,rom_only
0.84,1.21883529240152,8.033604101038783,14.20298706684679,7700.504921244764,vol_weighted,rom_only
0.845,1.208049162042735,8.040943903063807,14.07736084445474,7707.542287762642,vol_weighted,rom_only
0.85,1.153522571310117,7.948100466437885,13.44203239382275,7618.549129279418,vol_weighted,rom_only
0.855,1.063004842812405,7.445133625613561,12.38728441677649,7136.439564320648,vol_weighted,rom_only
0.86,1.303823913509197,7.896498143013032,15.19363151804836,7569.092757681886,vol_weighted,rom_only
0.865,1.153032091602793,7.810791326559544,13.43649494437885,7486.939455053944,vol_weighted,rom_only
0.87,1.218857072505672,8.040931480163989,14.20362631680693,7707.540826589064,vol_weighted,rom_only
0.875,1.218860421209095,7.896490625540102,14.20372318867567,7569.091917120923,vol_weighted,rom_only
0.88,1.153412641405904,7.976913868944718,13.44109585134593,7646.181443974277,vol_weighted,rom_only
0.885,1.218866827036226,8.033585051576075,14.20390826376495,7700.502637157606,vol_weighted,rom_only
0.89,1.208100405517184,8.040924800816571,14.07849536258894,7707.539970250753,vol_weighted,rom_only
0.895,1.153364339242219,7.948085589341365,13.44068189412972,7618.551610530563,vol_weighted,rom_only
0.9,1.062883779776663,7.445120298570073,12.38631723735849,7136.442138752698,vol_weighted,rom_only
0.905,1.303805942534266,7.896479845586344,15.19395628811234,7569.090452963397,vol_weighted,rom_only
0.91,1.152879032607228,7.810777545528402,13.43516737734087,7486.941820806536,vol_weighted,rom_only
0.915,1.218883820931198,8.040914526204503,14.20440902004606,7707.538712174812,vol_weighted,rom_only
0.92,1.218886319155438,7.896473492680466,14.20448524458351,7569.089592379433,vol_weighted,rom_only
0.925,1.153276264722613,7.976901227330549,13.43993290440112,7646.183645438522,vol_weighted,rom_only
0.93,1.21889111668976,8.033564583898317,14.20463414591682,7700.50017564362,vol_weighted,rom_only
0.935,1.208141412689012,8.040903902000162,14.07939853066819,7707.537466047415,vol_weighted,rom_only
0.94,1.153237827419615,7.948069875829338,13.43960315387507,7618.554125683295,vol_weighted,rom_only
0.945,1.062787732396881,7.445106442801908,12.3855503315663,7136.444692550132,vol_weighted,rom_only
0.95,1.303791043312121,7.89646249624173,15.19420932293253,7569.088205157177,vol_weighted,rom_only
0.955,1.152756495252462,7.810763543238525,13.43410558145981,7486.944336045978,vol_weighted,rom_only
0.96,1.218904275360208,8.04089438203377,14.20502181426011,7707.536269305719,vol_weighted,rom_only
0.965,1.218906329357319,7.896455814117514,14.20508011678277,7569.087395492845,vol_weighted,rom_only
0.97,1.15316887324113,7.976887485309023,13.4390124302697,7646.185892134733,vol_weighted,rom_only
0.975,1.218910165159536,8.033545632761648,14.20519310362825,7700.497795375778,vol_weighted,rom_only
0.98,1.208174170334897,8.040887552107199,14.08011048012415,7707.535454031928,vol_weighted,rom_only
0.985,1.153138177694823,7.94805789844742,13.43874986059682,7618.556181427139,vol_weighted,rom_only
0.99,1.062712014127748,7.445095637770708,12.38494464922142,7136.446833964795,vol_weighted,rom_only
0.995,1.303778999038077,7.896445423318497,15.19439396431701,7569.085999868119,vol_weighted,rom_only
