# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
16.25         	2.896159e+00
16.3          	2.882359e+00
16.35         	2.865548e+00
16.4          	2.845929e+00
16.45         	2.824093e+00
16.5          	2.800522e+00
16.55         	2.775637e+00
16.6          	2.756208e+00
16.65         	2.763666e+00
16.7          	2.770910e+00
16.75         	2.777831e+00
16.8          	2.784425e+00
16.85         	2.790668e+00
16.9          	2.796511e+00
16.95         	2.801859e+00
17            	2.806699e+00
17.05         	2.811141e+00
17.1          	2.814977e+00
17.15         	2.818186e+00
17.2          	2.820770e+00
17.25         	2.822681e+00
17.3          	2.823940e+00
17.35         	2.824590e+00
17.4          	2.824970e+00
17.45         	2.824799e+00
17.5          	2.825038e+00
17.55         	2.828653e+00
17.6          	2.831713e+00
17.65         	2.833613e+00
17.7          	2.835277e+00
17.75         	2.836649e+00
17.8          	2.837318e+00
17.85         	2.837490e+00
17.9          	2.837138e+00
17.95         	2.836183e+00
18            	2.834664e+00
18.05         	2.832637e+00
18.1          	2.830114e+00
18.15         	2.826946e+00
18.2          	2.823099e+00
18.25         	2.818469e+00
18.3          	2.812979e+00
18.35         	2.806812e+00
18.4          	2.799793e+00
18.45         	2.792678e+00
18.5          	2.785055e+00
18.55         	2.776905e+00
18.6          	2.768451e+00
18.65         	2.759528e+00
18.7          	2.750034e+00
18.75         	2.753654e+00
18.8          	2.758821e+00
18.85         	2.763688e+00
18.9          	2.768057e+00
18.95         	2.772422e+00
19            	2.777027e+00
19.05         	2.781908e+00
19.1          	2.787248e+00
19.15         	2.792991e+00
19.2          	2.799260e+00
19.25         	2.805979e+00
19.3          	2.813240e+00
19.35         	2.820764e+00
19.4          	2.828314e+00
19.45         	2.835503e+00
19.5          	2.841994e+00
19.55         	2.847615e+00
19.6          	2.851999e+00
19.65         	2.855031e+00
19.7          	2.856659e+00
19.75         	2.856967e+00
19.8          	2.856221e+00
19.85         	2.854842e+00
19.9          	2.853219e+00
19.95         	2.851720e+00
20            	2.891498e+00
20.05         	2.951938e+00
20.1          	2.961214e+00
20.15         	2.925203e+00
20.2          	2.969916e+00
20.25         	3.037231e+00
20.3          	3.041660e+00
20.35         	2.990569e+00
20.4          	2.896039e+00
20.45         	2.855266e+00
20.5          	2.852865e+00
20.55         	2.848968e+00
20.6          	2.843509e+00
20.65         	2.836392e+00
20.7          	2.827796e+00
20.75         	2.817864e+00
20.8          	2.806821e+00
20.85         	2.794807e+00
20.9          	2.821042e+00
20.95         	2.853371e+00
21            	2.875131e+00
21.05         	2.887759e+00
21.1          	2.892503e+00
21.15         	2.890965e+00
21.2          	2.885510e+00
21.25         	2.877445e+00
21.3          	2.868199e+00
21.35         	2.858574e+00
21.4          	2.849158e+00
21.45         	2.840639e+00
21.5          	2.853692e+00
21.55         	2.867867e+00
21.6          	2.880395e+00
21.65         	2.890579e+00
21.7          	2.898787e+00
21.75         	2.904814e+00
21.8          	2.908422e+00
21.85         	2.910421e+00
21.9          	2.910074e+00
21.95         	2.906852e+00
22            	2.901963e+00
22.05         	2.894969e+00
22.1          	2.885792e+00
22.15         	2.875051e+00
22.2          	2.862312e+00
22.25         	2.847659e+00
22.3          	2.831067e+00
22.35         	2.812775e+00
22.4          	2.793169e+00
22.45         	2.771862e+00
22.5          	2.757883e+00
22.55         	2.765614e+00
22.6          	2.773169e+00
22.65         	2.780501e+00
22.7          	2.787396e+00
22.75         	2.793959e+00
22.8          	2.800350e+00
22.85         	2.806206e+00
22.9          	2.811627e+00
22.95         	2.816436e+00
23            	2.820555e+00
23.05         	2.823830e+00
23.1          	2.826502e+00
23.15         	2.828587e+00
23.2          	2.830038e+00
23.25         	2.830711e+00
23.3          	2.830606e+00
23.35         	2.829851e+00
23.4          	2.828855e+00
23.45         	2.827709e+00
23.5          	2.826146e+00
23.55         	2.824150e+00
23.6          	2.821557e+00
23.65         	2.817950e+00
23.7          	2.813932e+00
23.75         	2.809635e+00
23.8          	2.804687e+00
23.85         	2.799040e+00
23.9          	2.792661e+00
23.95         	2.785564e+00
24            	2.777720e+00
24.05         	2.773588e+00
24.1          	2.770177e+00
24.15         	2.766356e+00
24.2          	2.762074e+00
24.25         	2.757215e+00
24.3          	2.751794e+00
24.35         	2.745869e+00
24.4          	2.739405e+00
24.45         	2.732937e+00
24.5          	2.729356e+00
24.55         	2.737146e+00
24.6          	2.744225e+00
24.65         	2.750671e+00
24.7          	2.756463e+00
24.75         	2.762149e+00
24.8          	2.767838e+00
24.85         	2.773411e+00
24.9          	2.778749e+00
24.95         	2.784088e+00
25            	2.789592e+00
25.05         	2.795382e+00
25.1          	2.801266e+00
25.15         	2.807371e+00
25.2          	2.813620e+00
25.25         	2.819867e+00
25.3          	2.826093e+00
25.35         	2.832318e+00
25.4          	2.838210e+00
25.45         	2.843346e+00
25.5          	2.847762e+00
25.55         	2.851331e+00
25.6          	2.853953e+00
25.65         	2.855580e+00
25.7          	2.856033e+00
25.75         	2.855501e+00
