# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
19            	-1.603061e+00
19.05         	-1.611454e+00
19.1          	-1.622956e+00
19.15         	-1.628590e+00
19.2          	-1.636730e+00
19.25         	-1.657654e+00
19.3          	-1.604470e+00
19.35         	-1.592079e+00
19.4          	-1.608134e+00
19.45         	-1.595398e+00
19.5          	-1.600004e+00
19.55         	-1.583019e+00
19.6          	-1.572276e+00
19.65         	-1.562157e+00
19.7          	-1.555424e+00
19.75         	-1.557657e+00
19.8          	-1.562953e+00
19.85         	-1.565668e+00
19.9          	-1.597212e+00
19.95         	-1.672531e+00
20            	-1.812206e+00
20.05         	-1.747075e+00
20.1          	-1.708019e+00
20.15         	-1.752366e+00
20.2          	-1.786470e+00
20.25         	-1.841293e+00
20.3          	-1.847916e+00
20.35         	-1.853976e+00
20.4          	-1.848632e+00
20.45         	-1.773335e+00
20.5          	-1.837563e+00
20.55         	-1.864358e+00
20.6          	-1.853962e+00
20.65         	-1.833675e+00
20.7          	-1.765171e+00
20.75         	-1.702422e+00
20.8          	-1.621575e+00
20.85         	-1.658065e+00
20.9          	-1.712525e+00
20.95         	-1.705010e+00
21            	-1.737590e+00
21.05         	-1.758555e+00
21.1          	-1.770301e+00
21.15         	-1.793668e+00
21.2          	-1.806429e+00
21.25         	-1.827701e+00
21.3          	-1.849662e+00
21.35         	-1.875937e+00
21.4          	-1.907133e+00
21.45         	-1.913622e+00
21.5          	-1.931710e+00
21.55         	-1.923776e+00
21.6          	-1.906876e+00
21.65         	-1.909386e+00
21.7          	-1.908472e+00
21.75         	-1.918570e+00
21.8          	-1.894992e+00
21.85         	-1.882415e+00
21.9          	-1.888543e+00
21.95         	-1.890929e+00
22            	-1.893804e+00
22.05         	-1.882044e+00
22.1          	-1.882269e+00
22.15         	-1.890257e+00
22.2          	-1.919433e+00
22.25         	-1.937802e+00
22.3          	-1.940359e+00
22.35         	-1.935355e+00
22.4          	-1.908396e+00
22.45         	-1.926318e+00
22.5          	-1.904098e+00
22.55         	-1.926049e+00
22.6          	-1.943954e+00
22.65         	-1.937993e+00
22.7          	-1.950967e+00
